num,Participante,Lugar_admin,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas
1951,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,7,0,1
1952,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,8,0,1
1953,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,1,1,1
1954,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,2,1,1
1955,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,3,0,1
1956,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,4,0,1
1957,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,5,1,1
1958,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,6,1,1
1959,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,7,0,1
1960,242,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,8,0,1
1961,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,27,V,C,VC,1,1,1
1962,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,2,1,1
1963,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,3,0,1
1964,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,4,0,1
1965,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,C,VC,5,1,1
1966,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,6,1,1
1967,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,7,1,0
1968,243,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,8,0,1
1969,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,1,1,1
1970,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,2,1,1
1971,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,3,0,1
1972,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,4,0,1
1973,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,5,1,1
1974,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,6,1,1
1975,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,7,0,1
1976,243,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,8,0,1
1977,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,M,27,V,C,VC,1,0,0
1978,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,2,1,1
1979,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,3,1,0
1980,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,4,0,1
1981,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,C,VC,5,1,1
1982,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,6,1,1
1983,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,7,1,0
1984,244,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,8,0,1
1985,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,1,1,1
1986,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,2,1,1
1987,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,3,0,1
1988,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,4,0,1
1989,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,5,1,1
1990,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,6,1,1
1991,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,7,0,1
1992,244,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,8,0,1
1993,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,V,C,VC,1,1,1
1994,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,V,I,VI,2,1,1
1995,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,I,C,IC,3,0,1
1996,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,I,I,II,4,0,1
1997,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,V,C,VC,5,1,1
1998,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,V,I,VI,6,1,1
1999,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,I,C,IC,7,0,1
2000,244,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,27,I,I,II,8,0,1
2001,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,O,28,V,C,VC,1,1,1
2002,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,2,1,1
2003,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,3,0,1
2004,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,4,0,1
2005,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,C,VC,5,1,1
2006,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,6,1,1
2007,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,7,0,1
2008,245,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,8,0,1
2009,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,1,1,1
2010,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,2,1,1
2011,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,3,0,1
2012,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,4,0,1
2013,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,5,1,1
2014,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,6,1,1
2015,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,7,1,0
2016,245,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,8,0,1
2017,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,28,V,C,VC,1,1,1
2018,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,2,1,1
2019,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,3,1,0
2020,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,4,0,1
2021,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,C,VC,5,1,1
2022,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,6,0,0
2023,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,7,1,0
2024,246,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,8,0,1
2025,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,1,1,1
2026,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,2,1,1
2027,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,3,0,1
2028,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,4,0,1
2029,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,5,1,1
2030,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,6,1,1
2031,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,7,1,0
2032,246,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,8,0,1
2033,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,28,V,C,VC,1,1,1
2034,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,2,1,1
2035,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,3,0,1
2036,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,4,0,1
2037,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,C,VC,5,1,1
2038,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,6,1,1
2039,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,7,1,0
2040,247,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,8,1,0
2041,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,1,1,1
2042,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,2,1,1
2043,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,3,0,1
2044,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,4,0,1
2045,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,5,1,1
2046,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,6,1,1
2047,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,7,1,0
2048,247,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,8,0,1
2049,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre,21,M,28,V,C,VC,1,0,0
2050,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,2,0,0
2051,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,3,1,0
2052,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,4,0,1
2053,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,C,VC,5,1,1
2054,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,6,0,0
2055,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,7,1,0
2056,248,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,8,0,1
2057,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,1,1,1
2058,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,2,1,1
2059,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,3,0,1
2060,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,4,1,0
2061,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,5,1,1
2062,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,6,1,1
2063,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,7,0,1
2064,248,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,8,0,1
2065,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,28,V,C,VC,1,1,1
2066,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,2,0,0
2067,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,3,0,1
2068,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,4,0,1
2069,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,C,VC,5,1,1
2070,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,V,I,VI,6,0,0
2071,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,C,IC,7,1,0
2072,249,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,28,I,I,II,8,0,1
2073,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,1,1,1
2074,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,2,0,0
2075,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,3,0,1
2076,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,4,0,1
2077,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,C,VC,5,1,1
2078,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,V,I,VI,6,1,1
2079,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,C,IC,7,1,0
2080,249,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,28,I,I,II,8,0,1
2081,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,V,C,VC,1,1,1
2082,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,V,I,VI,2,1,1
2083,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,I,C,IC,3,0,1
2084,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,I,I,II,4,0,1
2085,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,V,C,VC,5,1,1
2086,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,V,I,VI,6,1,1
2087,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,I,C,IC,7,1,0
2088,249,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,28,I,I,II,8,0,1
2089,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,29,V,C,VC,1,1,1
2090,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,2,1,1
2091,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,3,0,1
2092,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,4,0,1
2093,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,C,VC,5,1,1
2094,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,6,1,1
2095,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,7,1,0
2096,250,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,8,1,0
2097,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,1,0,0
2098,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,2,1,1
2099,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,3,1,0
2100,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,4,0,1
2101,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,5,1,1
2102,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,6,1,1
2103,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,7,1,0
2104,250,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,8,0,1
2105,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre,20,F,29,V,C,VC,1,0,0
2106,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,2,1,1
2107,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,3,0,1
2108,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,4,0,1
2109,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,C,VC,5,1,1
2110,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,6,1,1
2111,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,7,0,1
2112,251,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,8,0,1
2113,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,1,0,0
2114,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,2,1,1
2115,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,3,1,0
2116,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,4,0,1
2117,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,5,1,1
2118,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,6,1,1
2119,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,7,1,0
2120,251,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,8,0,1
2121,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,29,V,C,VC,1,0,0
2122,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,2,1,1
2123,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,3,0,1
2124,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,4,0,1
2125,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,C,VC,5,1,1
2126,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,6,1,1
2127,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,7,0,1
2128,252,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,8,0,1
2129,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,1,0,0
2130,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,2,1,1
2131,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,3,1,0
2132,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,4,0,1
2133,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,5,1,1
2134,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,6,1,1
2135,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,7,1,0
2136,252,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,8,0,1
2137,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,29,V,C,VC,1,0,0
2138,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,2,0,0
2139,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,3,0,1
2140,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,4,0,1
2141,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,C,VC,5,1,1
2142,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,6,1,1
2143,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,7,1,0
2144,253,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,8,0,1
2145,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,1,0,0
2146,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,2,1,1
2147,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,3,1,0
2148,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,4,0,1
2149,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,5,1,1
2150,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,6,1,1
2151,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,7,1,0
2152,253,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,8,0,1
2153,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre,21,F,29,V,C,VC,1,0,0
2154,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,2,0,0
2155,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,3,1,0
2156,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,4,0,1
2157,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,C,VC,5,1,1
2158,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,V,I,VI,6,1,1
2159,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,C,IC,7,1,0
2160,254,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,29,I,I,II,8,0,1
2161,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,1,0,0
2162,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,2,1,1
2163,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,3,1,0
2164,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,4,0,1
2165,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,C,VC,5,1,1
2166,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,V,I,VI,6,1,1
2167,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,C,IC,7,1,0
2168,254,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,29,I,I,II,8,0,1
2169,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,V,C,VC,1,0,0
2170,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,V,I,VI,2,1,1
2171,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,I,C,IC,3,1,0
2172,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,I,I,II,4,0,1
2173,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,V,C,VC,5,1,1
2174,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,V,I,VI,6,1,1
2175,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,I,C,IC,7,1,0
2176,254,Lógica y Epistemología UCC 2°,Resolución Grupal, , ,29,I,I,II,8,0,1
2177,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,30,V,C,VC,1,1,1
2178,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,30,V,I,VI,2,1,1
2179,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,30,I,C,IC,3,0,1
2180,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,30,I,I,II,4,0,1
2181,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,30,V,C,VC,5,0,0
2182,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,30,V,I,VI,6,1,1
2183,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,30,I,C,IC,7,0,1
2184,255,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,30,I,I,II,8,0,1
2185,255,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,30,V,C,VC,1,1,1
2186,255,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,30,V,I,VI,2,1,1
2187,255,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,30,I,C,IC,3,1,0
2188,255,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,30,I,I,II,4,0,1
